queries	명확도	Emojiness	긍정/부정 척도
응 나도 너 사랑해	1	1	7
내 안에 너 있다	1	1	6
사랑은 무슨	1	1	2
안 사랑해	1	1	1
어떻게 그런 말을 할 수가 있어	1	0	2
내가 널 사랑하지 않을리가 없잖아	1	1	5
쪽쪽	1	1	6
내 마음을 받아랏	1	1	6
쪽쪽은 무슨	1	0	2
안녕	1	1	4
그래요 그래요	1	1	4
에에엥	1	1	3
어이 없네	1	1	3
응 이제부터 스킨쉽 금지	1	1	3
어이 뭐해요	1	0	4
기분 좋겠당	1	1	6
그럼 잘 본거네	1	1	5
에구 고생 많았어요	1	1	5
항상 고마워요	1	1	6
응 나한테 기대요	1	1	5
고맙다고 말만 하면 다야?	1	1	2
완전 행복하다	1	1	7
맛있는거 먹으러 가장	1	1	5
행복이란 뭘까?	1	1	4
부끄러웡	0	1	#N/A
아냐 나 야한거 못 보는데	0	1	#N/A
그건 부끄러운게 아니에요	1	1	4
오키오키 완전 콜	1	1	5
웅웅 열심히 퇴근하는 중	1	1	5
열심히 출근하는 중	1	1	3
아 진짜 넘 웃겨	1	1	6
응 당연하지 약속같은건 없다	1	1	4
아 진짜 하나도 안 웃겨	1	1	3
난 목욕 끝	1	1	5
누나랑 키스하고 싶다	1	1	6
씻기 귀찮다	1	1	3
영화 너무 감동적이었어	1	1	5
우어 나도 라이브로 듣고싶다	1	1	5
영화 별로 감동적이지 않던데	1	1	3
꺄아 너무 좋아 신나!	1	1	7
오늘 월급날이다 후후후	1	1	6
신나긴 온통 시끄럽기만 하더만	1	1	2
실망해버림	1	1	2
택배 와서 입어봤는데 내가 생각한 그 핏이 아니네	1	0	3
실망하지 않았어요	1	1	4
서운해	1	1	2
너랑은 많이도 아니어도 밥 한번이라도 같이 먹고 싶었는데	0	1	#N/A
슬플리가 없잖아	1	1	4
힘들었어 엉엉	1	1	1
배 나왔다고 자꾸 놀려	1	1	3
끝났다 후우 힘들었어	1	1	3
와 개 신기하네	1	1	4
아 여름할인 시작했어?	1	1	5
그게 뭐가 신기해?	1	1	3
헉 진짜야? 말도 안돼	1	1	3
세상에 방학 내내 수업 하는거야?	1	1	3
뭐가 헉이야 ㅋㅋ 당연한거지	1	1	4
헉 무서워	1	1	2
과제 내일까지 아니었어?	1	1	2
무서워하지 마	1	1	4
흠 별로 맘에 안드는데	1	1	3
또 또 그런 말투	1	1	3
흠 별로 내 마음의 별로	1	1	5
짜증나	1	1	2
왜 자꾸 네 시험문제를 나한테 물어보는거야	1	1	2
짜증 안낼게요	0	1	#N/A
됐거든	1	1	2
날 웃음거리로 만들면 좋아요?	1	0	2
엥 삐진거 아니에요	1	0	4
우쒸	1	0	1
그런 말 좀 하지마	1	0	2
우쒸 할 때가 아니야	0	0	#N/A
기쁜데 뭔가 애매하네요	1	1	3
어머님이 밥 많이 주시는데 안 먹고 나올수가 없었어요	1	1	3
뭔가 기쁘네요	1	1	5
힝 그럼 어쩔수 없죠	1	1	2
배터리 지금 1퍼밖에 안남았어 미안	1	1	3
어쩔수 없는건 아니죠 좋아요	0	1	#N/A
감기 조심	0	1	#N/A
그래서 조퇴해서 죽이나 먹고 자려고	1	1	3
감기 다 나았다	1	1	5
가망이 없어	1	1	2
혼자 먹냐 나도 배고파 배고파	1	1	3
가망이 있어	0	1	#N/A
설명만 들어도 끔찍하네	1	1	2
그냥 좋은분이라 생각했는데 알면 알수록 뭔가	1	1	3
뭔가 재밌네 끔찍하긴 하지만	0	1	#N/A
급 피곤하다	1	1	2
전 이제 끝났어요 갈길이 너무 머네요	1	1	2
어젠 피곤했는데 오늘은 괜찮아	1	1	4
헤롱헤롱	0	1	#N/A
오늘 너무 많이 마신거같아 친구들이랑 오랜만에 만나서	0	1	#N/A
오늘 술 마시긴 했는데 안 취했어	1	1	4
빤짝빤짝	1	1	6
청소 깨끗하게 했어 기분 좋다	1	1	6
반짝반짝한 집이 언젠지 기억도 나지 않아	1	1	2
음 고민되는군	1	1	4
이중 적분을 하라구요? 그건 뭐죠	1	1	3
음 고민할게 뭐 있나 그냥 해	1	1	4
야근을 나 님이 싫어합니다	1	1	2
평소 시키던데 말고 다른데서 시켰는데 뭔가 오늘은 실패했네	1	1	3
싫다니요 전혀 그렇지 않아요	1	1	4
우와 짱이야	1	1	7
맛있었어 진짜 내가 먹어 본 스시중에 역대 1위	1	1	6
진짜 최고로 구림	1	1	1
오키도키	1	1	4
네 그럼 준비할게요	1	1	5
인정 못함	1	1	3
내일 못 만지게 할거야	1	0	2
응 굿밤	1	1	5
그럼 이따가 일어나서 봐용	1	1	5
응 굿모닝	1	1	5
만나면 앙 하고 깨물어줄거양	1	1	7
오늘은 기분이 너무 좋아	1	1	7
룰루랄라	1	1	6
올 추카추카	1	1	6
오늘 생일이시죠? 미역국은 드셨나요	1	1	5
막창 맛있다	1	1	5
술마시니까 기분좋다	1	1	6
친구한테 머그컵 받았는데 되게 이쁘다	1	1	6
내가 좀 멋있지	1	1	5
메롱	1	1	5
오늘 코트도 샀어	1	1	5
약오르지?	1	1	5
나의 후진주차 실력을 보여주지	1	1	5
김치볶음밥할 때 버터를 넣어주면 완전 맛있어	1	1	6
스테이크 먹을까 참치조림 먹을까?	1	1	5
응 난 연어랑 참치 초밥 좋아해	1	1	5
순대국밥에 다데기 이빠이 넣어 먹었어	1	1	5
걱정마 말 안할리가 없잖아	1	1	5
그 부탁 내가 들어주지	1	1	5
보고싶으니까 셀카 찍어 보내줘	1	1	5
업타운 펑크 노래 좋은듯	1	1	5
나 천재임	1	1	5
나는 늑대다	1	1	5
고량주 먹으러 가고싶다	1	1	5
나 이제 자야할 것 같아	1	1	4
나 소개팅 받아볼까?	1	1	4
저 반말해도 돼요?	1	1	4
나 부탁 하나만 해도 돼?	1	1	4
주말에 심심할때 뭐해?	1	1	4
아점 뭐 먹었어?	1	1	4
금요일인데 뭐하고 있니?	1	1	4
시간은 언제가 괜찮으세요?	1	1	4
이상적인 소맥의 비율은 몇대 몇일까	1	1	4
난 이제 다른 일을 하러 갈게	1	1	4
이번주 들어서 날씨가 많이 쌀쌀해졌어	1	1	3
친구가 결혼한대서 싱숭생숭해	1	1	3
아니라고?	1	1	3
룰루랄라 할 기분이 아냐	1	1	3
오늘따라 왜이리 졸리지?	1	1	3
아 요즘 왜이렇게 공부하기가 귀찮을까?	1	1	3
내가 멋있는 거랑은 좀 거리가 있지	1	1	3
나 화장실 가고싶어	1	1	3
아 사무실에 파리가 있어	1	1	3
냉장고에 아무것도 없어	1	1	3
아니라고	1	1	3
오늘 날씨가 엄청 춥다	1	1	3
일이라는 게 참 쉽지 않아	1	1	3
이란에서 지진이 되게 크게 났대	1	0	2
나 요즘 게임에 미친 거 같아 ㅠㅠ	1	1	2
뛰다가 넘어졌어 ㅠㅠ	1	1	2
헉 늦잠 자버렸다	1	1	2
콧물때문에 괴로워	1	1	2
왠지 모르게 우울한 하루다	1	1	2
아 매운거 먹었더니 배아파	1	1	2
눈이 막 감긴다 어떻게 하지	1	1	2
회식 가기 싫다	1	1	2
그래 우리 관계에 대해 다시 생각해보자	1	0	1
메롱하지마	1	1	2
나 약올리지 마	1	1	3
별로 이야기 하고 싶지 않아	1	0	2
아파 죽겠어, 자살하고싶어	1	0	1
노래해줘	1	1	5
엄마가 좋아 아빠가 좋아?	1	1	4
걸그룹은 트와이스지	1	1	4
넌 나에대해 어떻게 생각해?	0	1	
이쁜 분좀 소개해줘요	1	1	4
머리가 아픈데 어디로 가야할까?	1	1	2
하루만 더 쉬고 싶다	0	1	
너 볶음밥 엄청 좋아하는구나	1	1	5
하품 나온다	1	1	3
너 육포 먹어본 적 있어?	1	1	4
밖에 나왔는데 오늘 되게 춥다	1	1	3
미친듯이 외롭다	1	1	2
너 먹고싶은 거 말해봐	1	1	4
너 연예인 누구 좋아해?	0	1	
너 나한테 뭐 숨기는 거 있어?	0	1	
나 좀 취한 것 같아	0	1	
너가 나보다 똑똑한것 같아	0	1	
잘먹고 잘 살아라	0	1	
나랑 친하게 지내자	1	1	6
나 설레서 죽을 것 같애	1	1	6
넌 피씨방 자주 가?	1	1	4
앗싸 지하철에서 바로 앉았다	1	1	6
집에 혼자 있으니까 좀 무섭다	1	1	3
맥주 마시고 취하자	1	1	5
커피가 너무달아	1	1	3
추석 잘 보내고 있어?	1	1	5
누가 밥 차려줬음 좋겠다	0	1	
싸우자는 거야?	1	1	2
끝말잇기 고고?	1	1	4
취했으니까 내일 아침에 깨워줘	0	1	
하늘이 진짜 파랗다	0	1	
오늘 저녁은 짜파게티야	0	1	
나 오늘 진짜 웃긴 일 있었어	0	1	
오늘 날씨 정말 좋다	1	1	6
아 술 많이 마셨다	0	1	
별로 밥생각이 없어	1	1	3
음.. 오랜만에 곱창에 소맥할까요?	1	1	5
길가다가 깡패를 만났으면 어떻게 해야할까?	0	1	
나 목요일에 기말고사야	0	1	
날씨 좋다...놀러갈데 없을까?	1	1	5
아무리 생각해도 난 너무 잘생긴 것 같아	1	1	5
친구가 돈을 빌려갔는데 안갚아	1	1	3
할 일이 너무 많은데 졸려 어쩌지	1	1	2
어떻게 하면 담배를 끊을 수 있을까?	1	1	3
넌 인생이 뭐라고 생각해?	1	1	4
이번 주부터 중요한 일이 있어서 좀 부담돼	1	1	3
돈 많이 벌어서 나 맛있는 거 많이 사줘	1	1	5
저녁에 맥주나 한잔 해야겠어요	0	1	
주말엔 뭐 하는게 좋을까?	1	1	4
어떻게 하면 시간을 잘 보낼 수 있을까?	1	1	4
돈까스 나랑 먹으러가자 근처에 맛있는곳 있어	1	1	5
나 이번주에 소개팅해	0	1	
여기 골목이 너무 어두워	1	1	3
술 먹었는데 운전해도돼?	0	0	
월급 받으면 뭐살까?	1	1	5
간절히 바라면 온 우주가 도와줄 것입니다	1	1	4
사람들이 왜 그렇게 술을 좋아하는지 모르겠어	0	1	
조별과제 끝냈다	0	1	
인터넷이 오락가락한다	1	1	3
나는 이제 머리자르러 가	1	1	4
너는 응원하는 야구팀 있어?	1	1	4
전 이따 곱창에 소주마실 예정입니다	0	1	
난 주말에 뭐했게	0	1	
오늘 나랑 피방 갈사람 여기여기 붙어라	1	1	5
난 아이유가 좋아	1	1	5
돈좀 빌려줄래?	0	1	
나 고민 상담 해줄래?	0	1	
오늘 벌써 커피 세잔째다	1	1	3
나 다음달에 사이판간다	1	1	5
나는 어떤 사람 같아?	0	1	
난 외로운 솔로야	1	1	2
고백했는데 차였어	1	1	2
저녁을 아직 못 먹어서 배가 고파	1	1	3
지하철 타고 돌아가는 길이야	0	1	
우리 친구할까?	1	1	5
새로산 옷이 맘에 들어	1	1	5
비와서 버스 기다리다 비 다 맞음	1	1	3
너 키 몇인데?	1	1	4
나 좀있으면 발표한다	0	1	
오늘 점심 굶어라	0	1	
연말에 콘서트 갔으면 좋겠네요	1	1	5
감자탕이랑 순대국중에서 뭐 먹을래?	1	1	4
닭발 잘먹어?	1	1	4
갤럭시탭을 살까 말까	0	1	
할 일 끝내서 뿌듯하다	1	1	5
편의점 도시락 사왔어	0	1	
넌 무슨 계절이 제일 좋아?	0	1	
오늘은 밖에 안나가야지	0	1	
편의점에 두통약이 있나?	1	1	3
오늘 야구는 누가 이길까?	0	1	
소개팅에 뭐입고 갈까?	0	1	
타임머신 만들어줘	0	1	
양배추즙이 몸에 좋대	1	1	4
계속 날씨가 맑으면 좋겠다	1	1	5
난 아이스 아메리카노 좋아해	1	1	5
게임 딱 한시간만 하고 올게	0	1	
사는게 왜이렇게 힘드냐	1	1	2
가을전어 먹어봤어?	1	1	5
나 오늘 저녁에 술약속 있어	0	1	
오늘 날씨가 꾸리꾸리해	1	1	3
좋아하는 음식이 뭐야?	1	1	4
체력을 키워야겠어	0	1	
밀크티 좋아해?	0	1	
나랑 이야기 하기 싫어?	1	1	3
나 사기 당한거 같아	1	1	2
아이고 미치겠네	1	1	2
지금도 뒹굴고 있지만 더 격렬하게 뒹굴고싶다	1	1	4
내가 또 술먹으면 개다 개	1	1	3
여자친구가 전화를 안 끊어	0	1	
요즘 추워져서 아우터 사면 좋을거같아	1	1	4
엄마랑 잘 지내는건 어려워	1	1	3
너 잘 웃는 편이야?	1	1	4
손톱 너무 많이 길었다	0	1	
배부르네 빵먹었더니	0	1	
우울하지 않아?	0	1	
나 어제부터 목이 좀 아프네	1	1	3
너 나한테 정말 이러기야?	1	1	2
으잉 씻기 싫어	1	1	2
나 친구랑 싸웠어	1	1	2
짜증나게 하지마	1	1	2
무섭다	1	1	2
졸립다	1	1	3
망했어	1	1	3
힘들어	1	1	2
아쉽다	1	1	3
슬프다	1	1	2
고마워	1	1	5
웃기다	0	1	
내일 미용실이나 갈까?	0	1	
넌 책 읽는 거 좋아하나보네	0	1	
낮술할까?	1	1	5
내일까지 보고서 써야해	0	1	
귀찮아서 움직이기 싫다	1	1	3
꺄꺄 좀 그만해	1	1	2
나 진짜 바본가?	1	1	2
주말인데 약속이 없네	1	1	3
내 얘기 지루하지?	1	1	3
스타벅스 쿠폰 생겼다	1	1	5
으 너무 추워	1	1	3
너가 사람이었으면 좋겠다	0	1	
휴가 갔다왔더니 일이 많네	1	1	2
어제 필름 끊겼어	1	1	2
매운거 먹고싶다	0	1	
빨리 퇴근하고 싶다	0	1	
요새 고민이 많아	0	1	
내 투정 좀 들어주라	0	1	
또 떨어지면 어떡하지?	1	1	2
무슨 술 좋아해?	1	1	5
힐신어서 그런가 발이 아프네	1	1	3
오늘 영화 보러갈거다	1	1	5
입을 옷이 없네	1	1	3
오늘 택배온다	1	1	5
넌 무슨 색깔 좋아해?	0	1	
넌 해외여행 가봤어?	0	1	
내 여자친구 해주라	1	1	5
여름이 언제 끝나려나 너무 덥다	1	1	2
아 너무 많이 잤다	0	1	
이제 더위도 한풀 꺾였다	1	1	5
키크고 싶다	0	1	
너 나름 말 잘하네	0	1	
그럼 오늘 초밥 말고 돼지갈비 먹으러 가도 될까?	1	1	4
입대가 며칠 안남았다	1	1	3
나 적금들까?	1	1	4
여자친구가 연락이 안돼서 너무 걱정돼	1	1	1
나 오늘 차였어	1	1	2
아 오늘 진짜 너무 피곤했다	1	1	1
